id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order,disruptDanger
fuelprod,Fuel Production,90,120,,10,,,"fuelprod, industry, industrial",,graphics/icons/industry/ltv_fuel_production.png,wfg_ltv_econ.industry.LtvFuelProduction,"This facility produces starship fuel, the life-blood of interstellar civilization. Lacking Domain-tech components, fuel production is a laborious and slow process.",1800,HIGH
#advfuelprod,Advanced Fuel Production,120,60,,5,fuelprod,,fuelprod,,graphics/icons/industry/ltv_advanced_fuel_production.png,wfg_ltv_econ.industry.LtvFuelProduction,"A massive Domain-tech facility produces starship fuel, the life-blood of interstellar civilization.",1900,
commerce,Commerce,90,90,,3,,,"industry, urban",,graphics/icons/industry/ltv_commerce.png,wfg_ltv_econ.industry.LtvTradeCenter,"Regulations, grants, and infrastructure to encourage thriving independent trade. Greatly reduces the degree of direct control the administration has over the colony.",1950,MEDIUM
station_base,Orbital Station,,,,,,,"station, parent_item, important, structure",station,graphics/icons/industry/ltv_station_category.png,wfg_ltv_econ.industry.LtvOrbitalStation,"A space station that is capable of supporting friendly fleets near $marketName and must be reduced before a bombardment can be attempted.

Several variations are available, with differences generally being in tactical approaches rather than overall strength.",2000,
orbitalstation,Orbital Station - Low Tech,50,90,,3,,battlestation,"station, sub_item, unraidable, structure","{
radius:55,
variant:station1_Standard,
fleetName:Orbital Station,
}",graphics/icons/industry/ltv_orbital_station.png,wfg_ltv_econ.industry.LtvOrbitalStation,"A low-tech space station, featuring heavy armor and medium firepower.

Must be reduced before a bombardment can be attempted.",2010,
battlestation,Battlestation - Low Tech,100,120,,4,orbitalstation,starfortress,"station, battlestation, unraidable, structure","{
radius:65,
variant:station2_Standard,
fleetName:Battlestation,
}",graphics/icons/industry/ltv_battlestation.png,wfg_ltv_econ.industry.LtvOrbitalStation,"A space station, augmented with a heavy bastion and point-defense citadels.

Must be reduced before a bombardment can be attempted.",2020,
starfortress,Star Fortress - Low Tech,200,180,,5,battlestation,,"station, starfortress, unraidable, structure","{
radius:70,
variant:station3_Standard,
fleetName:Star Fortress
}",graphics/icons/industry/ltv_star_fortress.png,wfg_ltv_econ.industry.LtvOrbitalStation,"An up-armored battlestation, featuring Merlon-class defense drones and an extensive minefield.

Must be reduced before a bombardment can be attempted.",2030,
orbitalstation_mid,Orbital Station - Midline,50,90,,3,,battlestation_mid,"station, sub_item, unraidable, structure","{
radius:55,
variant:station1_midline_Standard,
fleetName:Orbital Station,
}",graphics/icons/industry/ltv_orbital_station.png,wfg_ltv_econ.industry.LtvOrbitalStation,"A midline space station, featuring heavy firepower on one side and rapid axial rotation.

Must be reduced before a bombardment can be attempted.",2040,
battlestation_mid,Battlestation - Midline,100,120,,4,orbitalstation_mid,starfortress_mid,"station, battlestation, unraidable, structure","{
radius:65,
variant:station2_midline_Standard,
fleetName:Battlestation,
}",graphics/icons/industry/ltv_battlestation.png,wfg_ltv_econ.industry.LtvOrbitalStation,"A space station, augmented with missile support modules.

Must be reduced before a bombardment can be attempted.",2050,
starfortress_mid,Star Fortress - Midline,200,180,,5,battlestation_mid,,"station, starfortress, unraidable, structure","{
radius:70,
variant:station3_midline_Standard,
fleetName:Star Fortress
}",graphics/icons/industry/ltv_star_fortress.png,wfg_ltv_econ.industry.LtvOrbitalStation,"An up-armored battlestation, featuring Ravelin-class defense drones and an extensive minefield.

Must be reduced before a bombardment can be attempted.",2060,
orbitalstation_high,Orbital Station - High Tech,50,90,,3,,battlestation_high,"station, sub_item, unraidable, structure","{
radius:55,
variant:station1_hightech_Standard,
fleetName:Orbital Station,
}",graphics/icons/industry/ltv_orbital_station.png,wfg_ltv_econ.industry.LtvOrbitalStation,"A high-tech space station, featuring heavy rotating shields, a fighter complement, and medium firepower.

Must be reduced before a bombardment can be attempted.",2070,
battlestation_high,Battlestation - High Tech,100,120,,4,orbitalstation_high,starfortress_high,"station, battlestation, unraidable, structure","{
radius:65,
variant:station2_hightech_Standard,
fleetName:Battlestation,
}",graphics/icons/industry/ltv_battlestation.png,wfg_ltv_econ.industry.LtvOrbitalStation,"A space station, augmented with a defensive citadel featuring heavy firepower.

Must be reduced before a bombardment can be attempted.",2080,
starfortress_high,Star Fortress - High Tech,200,180,,5,battlestation_high,,"station, starfortress, unraidable, structure","{
radius:70,
variant:station3_hightech_Standard,
fleetName:Star Fortress
}",graphics/icons/industry/ltv_star_fortress.png,wfg_ltv_econ.industry.LtvOrbitalStation,"An up-armored battlestation, featuring Gargoyle-class defense drones and long-range targeted mine teleporters.

Must be reduced before a bombardment can be attempted.",2090,
grounddefenses,Ground Defenses,30,60,,2,,heavybatteries,"grounddefenses, unraidable, tactical_bombardment, structure",,graphics/icons/industry/ltv_ground_defenses.png,wfg_ltv_econ.industry.LtvGroundDefenses,"A dispersed, semi-autonomous network of small, hidden weapon installations which makes the prospect of a direct ground assault and even simple raids extremely costly to the attacker. Only overwhelming orbital bombardment or massively disproportionate active screening can suppress these defenses.",2200,
heavybatteries,Heavy Batteries,60,90,,3,grounddefenses,,"grounddefenses, unraidable, tactical_bombardment, structure",,graphics/icons/industry/ltv_heavy_batteries.png,wfg_ltv_econ.industry.LtvGroundDefenses,"Armoured subsurface batteries supplement a dispersed network of small, hidden weapon installations. Ground-based batteries are capable of truly awesome firepower, though it only manifests by making ground operations more difficult, as no starship captain would be foolish enough to get within their firing envelopes.",2300,
patrolhq,Patrol HQ,60,60,,8,,militarybase,"patrol, unraidable, tactical_bombardment, structure",,graphics/icons/industry/ltv_patrol_hq.png,wfg_ltv_econ.industry.LtvMilitaryBase,"The requisite hangars, maintenance bays, command/control center, barracks, and logistics operations required to project force throughout a star system. Once established, militarized patrols will hunt pirates and protect friendly convoys.",2400,
militarybase,Military Base,90,120,,10,patrolhq,highcommand,"military, unraidable, tactical_bombardment, industry",,graphics/icons/industry/ltv_military_base.png,wfg_ltv_econ.industry.LtvMilitaryBase,"These facilities enable force projection between star systems. Any such military undertaking is a massive logistical operation requiring coordination of dozens, perhaps hundreds of star ships and thousands of officers, crew, and soldiers.",2500,
highcommand,High Command,30,120,,14,militarybase,,"command, unraidable, tactical_bombardment, industry",,graphics/icons/industry/ltv_high_command.png,wfg_ltv_econ.industry.LtvMilitaryBase,Transtellar empire is possible only through an exceptional corps of officers and bureaucrats given authority over the resources of entire star systems. An established high command allows military operations to be organized and executed across the Sector.,2600,
lionsguard,Lion's Guard HQ,90,60,,6,,,"military, unraidable, tactical_bombardment, structure, codex_unlockable",,graphics/icons/industry/ltv_lions_guard.png,wfg_ltv_econ.industry.LtvLionsGuardHQ,"Headquarters of the feared personal guard of Phillip ""The Lion of Sindria"" Andrada. Boasting superb training and access to the best equipment credits can buy, the fanatical loyalty of the Guard is maintained through a system of perks and incentives that both elevate and isolate the Guard from the Diktat's regular military.",2650,
planetaryshield,Planetary Shield,150,90,,3,,,"grounddefenses, structure, codex_unlockable",,graphics/icons/industry/ltv_planetary_shield.png,wfg_ltv_econ.industry.LtvPlanetaryShield,An envelope of charged plasma seeded with exotic virtual particles producing effects which disrupt the combat effectiveness of long-range bombardment and even incursion by small vessels. The planetary shield can be continually charged and controlled by a central source and presents a formidable obstacle to any form of ground assault.,2700,EXTREME
waystation,Waystation,20,60,,2,,,"waystation, structure",,graphics/icons/industry/ltv_waystation.png,wfg_ltv_econ.industry.LtvWaystation,A supply and maintenance depot for interstellar fleets. Increases a colony's accessibility.,155,MEDIUM
cryosanctum,Cryosanctum,150,90,,5,,,"cryosanctum, structure, codex_unlockable",,graphics/icons/industry/ltv_cryosanctum.png,wfg_ltv_econ.industry.LtvCryosanctum,"An enormous tomb-like vault built to store those who choose to risk cryosleep to pass this time of troubles to wake in what will presumably be a more civilized age. The cryopods themselves are insignificant in size compared to the many-times redundant support infrastructure, massive automated security systems and anti-ship batteries, all housed in a branching subsurface fortress-labyrinth.",3000,EXTREME
,,,,,,,,,,,,,,
cryorevival,Cryorevival Facility,60,60,,5,,,"cryorevival, structure, codex_unlockable",,graphics/icons/industry/ltv_cryorevival.png,wfg_ltv_econ.industry.LtvCryorevival,The necessary facilities for the mass revival and assimilation of the passengers of a Domain-era cryosleeper. Greatly increases population growth.,3200,MEDIUM
