id,trigger,conditions,script,text,options,notes
convergence_festival_start_debug,ConvergenceFestivalStart,"!$global.ltv_convergence_festival_cooldown
$global.isDevMode",,"Your eyes lock onto a festival performer among the crowd.
He looks tense and exhausted, glancing nervously at the crowd from his booth.",ConvergenceFestivalApproach:Approach the convergence festival performer,

convergence_festival_approach,DialogOptionSelected,$option == ConvergenceFestivalApproach,"CreateRandomNPC player market $convergence_performer male
DisplayNPC market $convergence_performer true
$global.ltv_convergence_festival_cooldown = true 60","You walk over to the performer, who stares silently at his drink, avoiding your gaze.",ConvergenceFestivalSmallTalk:"Make small talk",

convergence_festival_small_talk,DialogOptionSelected,$option == ConvergenceFestivalSmallTalk,,"You ask if he is a performer in the festival.
He doesn't answer, just lets out a quiet grunt and keeps staring at his drink.","ConvergenceFestivalCompliment:""With your efforts, the colony is more unified than ever. Your sweat wasn't wasted.""
ConvergenceFestivalCoach:""This machine cannot run if a single cog falters. Pull through, and the whole festival stands."""

convergence_festival_compliment,DialogOptionSelected,$option == ConvergenceFestivalCompliment,,"The performer finally looks at you, eyes filled with silent anger. ""The sweat wasn't from the festival itself,"" he says quietly. ""It was from the shock when security knocked down my door to make sure I attended the morning preparations.""","ConvergenceFestivalFinalAdvice:""Choosing to join the events is voluntary, but once in, you must fulfill your duty""
ConvergenceFestivalApologize:Apologize on behalf of the authorities and leave",

convergence_festival_coach,DialogOptionSelected,$option == ConvergenceFestivalCoach,,"The performer finally looks at you, eyes filled with silent frustration. ""Not actually tired,"" he says in a strained, anxious voice. ""The security already helped me get energetic and motivated for the training.""","ConvergenceFestivalFinalAdvice:Remind him that choosing to join makes participation mandatory
ConvergenceFestivalClarification:Ask what he means by that",

convergence_festival_clarification,DialogOptionSelected,$option == ConvergenceFestivalClarification,,"He narrows his eyes, voice tight. ""The guards practically dragged me out. They made sure I was ready for the drills. I barely had a moment to catch my breath.""","ConvergenceFestivalFinalAdvice:Remind him that choosing to join makes participation mandatory
ConvergenceFestivalApologize:Apologize on behalf of the authorities and leave",

convergence_festival_final_advice,DialogOptionSelected,$option == ConvergenceFestivalFinalAdvice,"AdjustRepNPC market $convergence_performer -5 HOSTILE
ConvergenceFestivalCMD kill_music","You tell him quietly: ""Choosing to join the events is voluntary, but once in, you must fulfill your duty. Otherwise, the whole festival would crumble.""",ConvergenceFestivalDaze:Continue,

convergence_festival_daze,DialogOptionSelected,$option == ConvergenceFestivalDaze,"ConvergenceFestivalCMD start_daze","The performer exhales sharply, eyes flicking to the holographic banners above the plaza. Beyond the bar, drums beat in rhythm with the thousands still rehearsing, the crowd echoing rhythmically, as if the festival has become a living organism. You leave him for a moment, sensing its pulse; lights, banners, and cheers flood the bar, and in your mind, the festival takes on a life of its own.",ConvergenceFestivalLeave:Snap out of it,

convergence_festival_apologize,DialogOptionSelected,$option == ConvergenceFestivalApologize,,"You apologize quietly and step away. The performer watches you go, muttering a curse under his breath as he sips his drink.",barHRE_goToNormalBar:Continue,

convergence_festival_leave,DialogOptionSelected,$option == ConvergenceFestivalLeave,ConvergenceFestivalCMD end_daze,"Suddenly the festival cheers go quiet and you find yourself back at the bar.",barHRE_goToNormalBar:Continue,
